DATE/TIME,CODE,SPACE,FLOOR,EVENT
1/9/2023 9:22:39 AM,SI17ZC01ASF/DC03 ,027006017,SF/DC03 TP1,Occupied
1/9/2023 9:22:01 AM,SI07ZC02ASF/DC03 ,027007007,SF/DC03 TP1,Occupied
1/9/2023 9:21:52 AM,SI07ZC02ASF/DC03 ,027007007,SF/DC03 TP1,Vacant
1/9/2023 9:21:52 AM,SI69ZC02ASF/DC03 ,027007069,SF/DC03 TP1,Occupied
1/9/2023 9:21:45 AM,SI66ZC02BSF/DC03 ,027009066,SF/DC03 TP1,Occupied
1/9/2023 9:21:39 AM,SI09ZC02BSF/DC03 ,027009009,SF/DC03 TP1,Occupied
1/9/2023 9:21:37 AM,SI20ZC02BSF/DC03 ,027009020,SF/DC03 TP1,Vacant
1/9/2023 9:21:15 AM,SI40ZC02ASF/DC03 ,027007040,SF/DC03 TP1,Vacant
1/9/2023 9:21:14 AM,SI68ZC02BSF/DC03 ,027009068,SF/DC03 TP1,Occupied
1/9/2023 9:21:06 AM,SI40ZC02ASF/DC03 ,027007040,SF/DC03 TP1,Occupied
1/9/2023 9:20:31 AM,SI14ZC01ASF/DC03 ,027006014,SF/DC03 TP1,Occupied
1/9/2023 9:20:25 PM,SI32ZC02ASF/DC03 ,027007032,SF/DC03 TP1,Vacant
1/9/2023 9:20:09 PM,SI32ZC02ASF/DC03 ,027007032,SF/DC03 TP1,Occupied
1/9/2023 9:20:07 AM,SI27ZC01BSF/DC03 ,027008027,SF/DC03 TP1,Occupied
1/9/2023 9:19:58 AM,SI20ZC02BSF/DC03 ,027009020,SF/DC03 TP1,Occupied
1/9/2023 9:19:43 AM,SI29ZC02BSF/DC03 ,027009029,SF/DC03 TP1,Vacant
1/9/2023 9:19:42 AM,SI53ZC01ASF/DC03 ,027006053,SF/DC03 TP1,Occupied
1/9/2023 9:19:38 AM,SI13ZC01ASF/DC03 ,027006013,SF/DC03 TP1,Occupied
1/9/2023 9:19:36 AM,SI70ZC02ASF/DC03 ,027007070,SF/DC03 TP1,Occupied
1/9/2023 9:19:25 AM,SI48ZC02ASF/DC03 ,027007048,SF/DC03 TP1,Occupied
1/9/2023 9:18:53 PM,SI30ZC01BSF/DC03 ,027008030,SF/DC03 TP1,Vacant
1/9/2023 9:18:47 AM,SI42ZC01ASF/DC03 ,027006042,SF/DC03 TP1,Occupied
1/9/2023 9:18:46 PM,SI30ZC01BSF/DC03 ,027008030,SF/DC03 TP1,Occupied
1/9/2023 9:18:43 AM,SI07ZC02ASF/DC03 ,027007007,SF/DC03 TP1,Occupied
1/9/2023 9:17:53 AM,SI29ZC02BSF/DC03 ,027009029,SF/DC03 TP1,Occupied
1/9/2023 9:17:51 AM,SI53ZC01BSF/DC03 ,027008053,SF/DC03 TP1,Occupied
1/9/2023 9:17:47 AM,SI25ZC01BSF/DC03 ,027008025,SF/DC03 TP1,Occupied
1/9/2023 9:17:45 AM,SI51ZC02ASF/DC03 ,027007051,SF/DC03 TP1,Occupied
1/9/2023 9:17:34 AM,SI47ZC02ASF/DC03 ,027007047,SF/DC03 TP1,Occupied
1/9/2023 9:16:43 AM,SI68ZC02BSF/DC03 ,027009068,SF/DC03 TP1,Vacant
1/9/2023 9:16:35 PM,SI50ZC01BSF/DC03 ,027008050,SF/DC03 TP1,Vacant
1/9/2023 9:16:35 AM,SI21ZC01ASF/DC03 ,027006021,SF/DC03 TP1,Occupied
1/9/2023 9:16:31 AM,SI05ZC01BSF/DC03 ,027008005,SF/DC03 TP1,Occupied
1/9/2023 9:16:20 AM,SI12ZC01ASF/DC03 ,027006012,SF/DC03 TP1,Occupied
1/9/2023 9:16:14 PM,SI50ZC01BSF/DC03 ,027008050,SF/DC03 TP1,Occupied
1/9/2023 9:16:12 AM,SI12ZC01ASF/DC03 ,027006012,SF/DC03 TP1,Vacant
1/9/2023 9:16:06 AM,SI06ZC01BSF/DC03 ,027008006,SF/DC03 TP1,Occupied
1/9/2023 9:16:06 AM,SI41ZC01ASF/DC03 ,027006041,SF/DC03 TP1,Occupied
1/9/2023 9:16:04 AM,SI12ZC01ASF/DC03 ,027006012,SF/DC03 TP1,Occupied
1/9/2023 9:15:44 AM,SI34ZC02BSF/DC03 ,027009034,SF/DC03 TP1,Occupied
1/9/2023 9:14:48 AM,SI26ZC01BSF/DC03 ,027008026,SF/DC03 TP1,Occupied
1/9/2023 9:14:46 AM,SI07ZC01BSF/DC03 ,027008007,SF/DC03 TP1,Occupied
1/9/2023 9:14:46 AM,SI43ZC01ASF/DC03 ,027006043,SF/DC03 TP1,Occupied
1/9/2023 9:14:17 AM,SI10ZC02BSF/DC03 ,027009010,SF/DC03 TP1,Occupied
1/9/2023 9:14:11 AM,SI36ZC01BSF/DC03 ,027008036,SF/DC03 TP1,Occupied
1/9/2023 9:13:54 AM,SI11ZC01ASF/DC03 ,027006011,SF/DC03 TP1,Occupied
1/9/2023 9:13:50 AM,SI24ZC01BSF/DC03 ,027008024,SF/DC03 TP1,Occupied
1/9/2023 9:13:29 PM,SI20ZC01ASF/DC03 ,027006020,SF/DC03 TP1,Vacant
1/9/2023 9:13:12 PM,SI20ZC01ASF/DC03 ,027006020,SF/DC03 TP1,Occupied
1/9/2023 9:12:48 AM,SI50ZC01BSF/DC03 ,027008050,SF/DC03 TP1,Occupied
1/9/2023 9:12:16 AM,SI44ZC01BSF/DC03 ,027008044,SF/DC03 TP1,Occupied
1/9/2023 9:12:12 AM,SI13ZC02ASF/DC03 ,027007013,SF/DC03 TP1,Vacant
1/9/2023 9:12:04 AM,SI13ZC02ASF/DC03 ,027007013,SF/DC03 TP1,Occupied
1/9/2023 9:11:49 AM,SI19ZC01ASF/DC03 ,027006019,SF/DC03 TP1,Occupied
1/9/2023 9:11:05 AM,SI10ZC01ASF/DC03 ,027006010,SF/DC03 TP1,Occupied
1/9/2023 9:10:55 AM,SI14ZC01ASF/DC03 ,027006014,SF/DC03 TP1,Vacant
1/9/2023 9:10:55 AM,SI32ZC02BSF/DC03 ,027009032,SF/DC03 TP1,Occupied
1/9/2023 9:10:53 AM,SI10ZC01ASF/DC03 ,027006010,SF/DC03 TP1,Vacant
1/9/2023 9:10:46 AM,SI41ZC01BSF/DC03 ,027008041,SF/DC03 TP1,Occupied
1/9/2023 9:10:46 AM,SI22ZC01BSF/DC03 ,027008022,SF/DC03 TP1,Occupied
1/9/2023 9:10:42 AM,SI10ZC01ASF/DC03 ,027006010,SF/DC03 TP1,Occupied
1/9/2023 9:10:42 AM,SI50ZC02ASF/DC03 ,027007050,SF/DC03 TP1,Occupied
1/9/2023 9:10:00 AM,SI10ZC01BSF/DC03 ,027008010,SF/DC03 TP1,Occupied
1/9/2023 9:09:14 AM,SI45ZC02ASF/DC03 ,027007045,SF/DC03 TP1,Occupied
1/9/2023 9:09:04 AM,SI53ZC02BSF/DC03 ,027009053,SF/DC03 TP1,Occupied
1/9/2023 9:08:35 AM,SI36ZC02BSF/DC03 ,027009036,SF/DC03 TP1,Occupied
1/9/2023 9:08:28 AM,SI18ZC02BSF/DC03 ,027009018,SF/DC03 TP1,Occupied
1/9/2023 9:07:21 AM,SI18ZC01ASF/DC03 ,027006018,SF/DC03 TP1,Occupied
1/9/2023 9:07:20 AM,SI38ZC01BSF/DC03 ,027008038,SF/DC03 TP1,Occupied
1/9/2023 9:06:44 AM,SI36ZC01BSF/DC03 ,027008036,SF/DC03 TP1,Vacant
1/9/2023 9:06:32 AM,SI20ZC01ASF/DC03 ,027006020,SF/DC03 TP1,Occupied
1/9/2023 9:06:19 AM,SI63ZC02BSF/DC03 ,027009063,SF/DC03 TP1,Occupied
1/9/2023 9:06:03 AM,SI36ZC01BSF/DC03 ,027008036,SF/DC03 TP1,Occupied
1/9/2023 9:05:39 AM,SI11ZC02BSF/DC03 ,027009011,SF/DC03 TP1,Occupied
1/9/2023 9:05:34 AM,SI71ZC02ASF/DC03 ,027007071,SF/DC03 TP1,Occupied
1/9/2023 9:05:22 AM,SI54ZC01ASF/DC03 ,027006054,SF/DC03 TP1,Vacant
1/9/2023 9:05:21 AM,SI46ZC02ASF/DC03 ,027007046,SF/DC03 TP1,Occupied
1/9/2023 9:05:11 AM,SI54ZC01ASF/DC03 ,027006054,SF/DC03 TP1,Occupied
1/9/2023 9:04:50 AM,SI08ZC02BSF/DC03 ,027009008,SF/DC03 TP1,Occupied
1/9/2023 9:04:27 AM,SI39ZC01ASF/DC03 ,027006039,SF/DC03 TP1,Occupied
1/9/2023 9:04:12 PM,SI55ZC01BSF/DC03 ,027008055,SF/DC03 TP1,Vacant
